node_id,node_type,name,source_id,countries,country_codes,jurisdiction,jurisdiction_description,status,valid_until,note,original_name,former_name,address,company_type,internal_id,incorporation_date,inactivation_date,struck_off_date,dorm_date,service_provider,ibcRUC
10002147,entity,CRAIG S.A.,Panama Papers,Switzerland,CHE,SAM,Samoa,Discontinued,The Panama Papers data is current through 2015,,CRAIG S.A.,,"GESTION DE PATRIMOINE DU RHONE S.A. CASE POSTALE 5328  1211 GENEVA  11,  SWITZERLAND *S.I.*",,1002677,21-MAR-2007,28-DEC-2009,15-FEB-2010,,Mossack Fonseca,31828
10002739,entity,Related Supply Ltd.,Panama Papers,China,CHN,SAM,Samoa,Defaulted,The Panama Papers data is current through 2015,,Related Supply Ltd.,,CARLETON RUTHLING ROOM 1803 BLK #4; YONG HE JIA YUAN; NO. 3  EAST BIN HE ROAD; BEIJING; CHINA,,1003008,05-NOV-2007,19-FEB-2015,15-FEB-2015,,Mossack Fonseca,35036
10002747,entity,MIDWAY HOLDINGS LIMITED INC.,Panama Papers,Luxembourg,LUX,PMA,Panama,Changed agent,The Panama Papers data is current through 2015,,MIDWAY HOLDINGS LIMITED INC. -EX- SENTOSA INVESTMENTS INC.,SENTOSA INVESTMENTS INC.,"GOUDSMIT & TANG MANAGEMENT 24, RUE BEAUMONT L-1219 LUXEMBOURG LUXEMBOURG",,10089,09-MAR-1988,14-DEC-2005,15-JUL-2007,,Mossack Fonseca,31
10002900,entity,LUCKYWAY INTERNATIONAL LIMITED,Panama Papers,Hong Kong,HKG,SAM,Samoa,Active,The Panama Papers data is current through 2015,,LUCKYWAY INTERNATIONAL LIMITED,,OFFSHORER BUSINESS SERVICES (HK) LTD. UNIT 826; 8/F OCEAN CENTRE; HARBOUR CITY; 5 CANTON ROAD; TST KOWLOON; HONG KONG,,1005654,17-JAN-2014,,,,Mossack Fonseca,62373
10003178,entity,GREAT WALL HOLDINGS LTD.,Panama Papers,Hong Kong,HKG,SAM,Samoa,Defaulted,The Panama Papers data is current through 2015,,GREAT WALL HOLDINGS LTD.,,ASIA BUSINESS SECRETARIAL 16/F; TAK SHING HOUSE; THEATRE LANE; 20 DES VOEUX ROAD CENTRAL; HONG KONG **S.I.**,,1001326,16-MAY-2006,18-FEB-2013,15-FEB-2013,,Mossack Fonseca,R26013
10003239,entity,INNOTEK ENTERPRISE LTD.,Panama Papers,Taiwan,TWN,SAM,Samoa,Active,The Panama Papers data is current through 2015,,INNOTEK ENTERPRISE LTD.,,DI SAN DI MANAGEMENT COMPANY LIMITED 7F- 4; NO.50; SEC. 1; XINSHENG S. RD.; TAIPEI; TAIWAN,,1002929,13-SEP-2007,,,,Mossack Fonseca,34366
10003667,entity,ARIGATO LIMITED,Panama Papers,Panama,PAN,SAM,Samoa,Defaulted,The Panama Papers data is current through 2015,,ARIGATO LIMITED,,MF ASSOCIATES INC. PASEO ROBERTO MOTTA CAPITAL PLAZA; FLOOR 8 COSTA DEL ESTE; PANAMÁ PANAMA REPUBLIC OF PANAMA *S.I.*,,1001070,22-MAR-2006,19-FEB-2008,15-FEB-2008,,Mossack Fonseca,R25196
10004037,entity,ARKADIAN OVERSEAS LIMITED,Panama Papers,Ecuador,ECU,NEV,Nevada,Defaulted,The Panama Papers data is current through 2015,,ARKADIAN OVERSEAS LIMITED,,"ESTUDIO JURIDICO ORTEGA MOREIRA & ORTEGA TRUJILLO ABOGADOS AV. FCO. DE ORELLANA Y MIGUEL H. ALCIVAR ED. CENTRO EMPRESARIAL LAS CAMARAS MEZZANINE - OFICINA 1 GUAYAQUIL, ECUADOR GUAYAQUIL ECUADOR",,121438,01-APR-2009,04-JUN-2015,01-MAY-2015,,Mossack Fonseca,E0188352009-9
10004166,entity,LAITA LIMITED,Panama Papers,Taiwan,TWN,SAM,Samoa,Defaulted,The Panama Papers data is current through 2015,,LAITA LIMITED,,DI SAN DI MANAGEMENT COMPANY LIMITED 7F- 4; NO.50; SEC. 1; XINSHENG S. RD.; TAIPEI; TAIWAN,,1000757,21-OCT-2005,17-FEB-2011,15-FEB-2011,,Mossack Fonseca,22991
10004346,entity,"CONCEPT STYLE CO., LTD.",Panama Papers,Hong Kong,HKG,SAM,Samoa,Defaulted,The Panama Papers data is current through 2015,,"CONCEPT STYLE CO., LTD.",,ORION HOUSE SERVICES (HK) LIMITED ROOM 1401; 14/F.; WORLD COMMERCE  CENTRE; HARBOUR CITY; 7-11 CANTON ROAD; TSIM SHA TSUI; KOWLOON; HONG KONG,,1000832,25-NOV-2005,18-NOV-2008,15-FEB-2009,,Mossack Fonseca,23419
10004363,entity,"LIGHT ENGINE ENERGY TECHNOLOGY CO., LTD.",Panama Papers,Taiwan,TWN,SAM,Samoa,Defaulted,The Panama Papers data is current through 2015,,"LIGHT ENGINE ENERGY TECHNOLOGY CO., LTD.",,DI SAN DI MANAGEMENT COMPANY LIMITED 7F- 4; NO.50; SEC. 1; XINSHENG S. RD.; TAIPEI; TAIWAN,,1003991,11-AUG-2009,18-FEB-2013,15-FEB-2013,,Mossack Fonseca,41970
10004871,entity,FICHAR INVESTMENT S.A.,Panama Papers,Switzerland,CHE,PMA,Panama,Active,The Panama Papers data is current through 2015,,FICHAR INVESTMENT S.A.,,"ETUDE DE ME P. AZZOLA 81, ROUTE DE FLORISSANT 1206 GENEVA SWITZERLAND",,12624,14-NOV-1990,,,,Mossack Fonseca,21
10004917,entity,SUCCESS FAITH TRADING LTD.,Panama Papers,Hong Kong,HKG,SAM,Samoa,Active,The Panama Papers data is current through 2015,,SUCCESS FAITH TRADING LTD.,,ORION HOUSE SERVICES (HK) LIMITED ROOM 1401; 14/F.; WORLD COMMERCE  CENTRE; HARBOUR CITY; 7-11 CANTON ROAD; TSIM SHA TSUI; KOWLOON; HONG KONG,,1005325,09-MAY-2013,,,,Mossack Fonseca,58294
10005685,entity,CAROLUS FINANCE INC.,Panama Papers,Panama,PAN,PMA,Panama,Defaulted,The Panama Papers data is current through 2015,,CAROLUS FINANCE INC.,,MF ASSOCIATES INC. PASEO ROBERTO MOTTA CAPITAL PLAZA; FLOOR 8 COSTA DEL ESTE; PANAMÁ PANAMA REPUBLIC OF PANAMA *S.I.*,,10629,25-OCT-1988,19-JAN-2005,25-JAN-2004,,Mossack Fonseca,63
10005889,entity,LYNUS HOLDINGS LIMITED,Panama Papers,Isle of Man,IMN,SAM,Samoa,Active,The Panama Papers data is current through 2015,,LYNUS HOLDINGS LIMITED,,CLEARWATER INVESTMENTS 33 COOIL BRERYK RAMSEY ISLE OF MAN IM8 3HL,,1003639,05-JAN-2009,,,,Mossack Fonseca,40040
10006350,entity,MULTINVEST LLC,Panama Papers,Venezuela,VEN,NEV,Nevada,Defaulted,The Panama Papers data is current through 2015,,MULTINVEST LLC,,GUSTAVO CABRERA ACEVEDO AV. LAS COLINAS; RESIDENCIAS SAMANES PLAZA; TORRE A; PISO 2; APT. A2A; LOS SAMANES; MUNICIPIO BARUTA; CARACAS; 1080; REPÚBLICA BOLIVARIANA DE VENEZUELA,,120775,24-MAY-2006,06-JUN-2008,01-JUN-2008,,Mossack Fonseca,E0409032006-6
10007167,entity,CONDOR TRAVEL INTERNATIONAL LIMITED,Panama Papers,Bahamas,BHS,NEV,Nevada,Defaulted,The Panama Papers data is current through 2015,,CONDOR TRAVEL INTERNATIONAL LIMITED,,MOSSACK FONSECA & CO. (PERU) CORP. SAFFREY SQUARE SUITE 205; BANK LANE P. O. BOX N-8188 NASSAU; BAHAMAS **S.I.**,,120274,15-DEC-2003,02-SEP-2009,01-JAN-2010,,Mossack Fonseca,LLC19393-03
10007551,entity,KINBOROUGH ASSOCIATES INC.,Panama Papers,Hong Kong,HKG,PMA,Panama,Active,The Panama Papers data is current through 2015,,KINBOROUGH ASSOCIATES INC.,,"LUTEA (HONG KONG) LIMITED SUITE 1309, ASIA STANDARD TOWER 59-65 QUEEN’S ROAD CENTRAL HONG KONG CONTACT PERSON: MR CHRIS BROWN / MS DOROTHY KWOK",,15402,01-AUG-1995,,,,Mossack Fonseca,81
10008496,entity,TREBOL OVERSEAS S.A.,Panama Papers,Jersey,JEY,PMA,Panama,Defaulted,The Panama Papers data is current through 2015,,TREBOL OVERSEAS S.A.,,"CENTURION MANAGEMENT SERVICES LIMITED P O BOX 702,  SALISBURY HOUSE ST HELIER JERSEY JE4 0PG CHANNEL ISLANDS UNITED KINGDOM",,19589,14-NOV-1997,20-NOV-2002,14-FEB-2003,,Mossack Fonseca,42
10008998,entity,NETWORK ACCESS LLC,Panama Papers,Panama,PAN,NEV,Nevada,Defaulted,The Panama Papers data is current through 2015,,NETWORK ACCESS LLC,,MF ASSOCIATES INC. PASEO ROBERTO MOTTA CAPITAL PLAZA; FLOOR 8 COSTA DEL ESTE; PANAMÁ PANAMA REPUBLIC OF PANAMA *S.I.*,,120273,19-DEC-2003,13-JAN-2009,01-JAN-2009,,Mossack Fonseca,LLC19812-03
10009366,entity,CIRCLE EQUITIES CORP.,Panama Papers,Panama,PAN,PMA,Panama,Dissolved,The Panama Papers data is current through 2015,,CIRCLE EQUITIES CORP.,,MF ASSOCIATES INC. PASEO ROBERTO MOTTA CAPITAL PLAZA; FLOOR 8 COSTA DEL ESTE; PANAMÁ PANAMA REPUBLIC OF PANAMA *S.I.*,,16553,17-JAN-1997,05-OCT-2000,17-APR-2001,,Mossack Fonseca,83
10009594,entity,VICTORY ASSOCIATES S.A.,Panama Papers,Uruguay,URY,PMA,Panama,Defaulted,The Panama Papers data is current through 2015,,VICTORY ASSOCIATES S.A.,,CONSULTORES EMPRESARIALES LTDA. CIRCUNVALACIÓN DURANGO 383 APTO. 201 11.000 MONTEVIDEO URUGUAY,,17613,09-MAR-1998,05-JUL-2004,09-JUN-2002,,Mossack Fonseca,80
10009957,entity,"LA CASA DEL LAGO, S.A.",Panama Papers,Panama,PAN,PMA,Panama,Active,The Panama Papers data is current through 2015,,"LA CASA DEL LAGO, S.A.",,"LIC. RAMON FONSECA MORA APARTADO POSTAL 0832-0886 WORLD TRADE CENTER PANAMA, REPUBLICA DE PANAMA",,15299,11-MAY-1995,,,,Mossack Fonseca,62
10010289,entity,VIP ASSOCIATES INC.,Panama Papers,Switzerland,CHE,PMA,Panama,Defaulted,The Panama Papers data is current through 2015,,VIP ASSOCIATES INC.,,"NWT MANAGEMENT S.A. 10 RUE MUZY PO BOX 3501  1211 GENEVE 3, GENEVA SWITZERLAND",,15548,13-OCT-1995,16-NOV-2000,13-JAN-2000,,Mossack Fonseca,99
10010391,entity,PACIFIC COAST REAL PROPERTY LLC,Panama Papers,Ecuador,ECU,NEV,Nevada,Relocated in new jurisdiction,The Panama Papers data is current through 2015,,PACIFIC COAST REAL PROPERTY LLC,,PARESOCI COMPAÑÍA LIMITADA KENNEDY NORTE; AVE. MIGUEL H. ALCIVAR; MANZANA 506; TORRES DEL NORTE; TORRE A; PISO 8; OF. 810 GUAYAQUIL; ECUADOR,,121416,23-MAR-2009,13-MAR-2015,01-APR-2016,,Mossack Fonseca,E0148292009-3
10010409,entity,Numbor Consulting Limited,Panama Papers,United Arab Emirates,ARE,ANG,British Anguilla,Active,The Panama Papers data is current through 2015,,Numbor Consulting Limited,,OMNI MANAGEMENT CONSULTANCY FZE OFFICE NUMBER 425; RAS AL KHAIMAH FREE TRADE ZONE AUTHORITY  GOVERNMENT OF RAS AL KHAIMAH; P.O. BOX 10055 RAS AL KHAIMAH; UNITED ARAB EMIRATES,,2001765,07-NOV-2011,,,,Mossack Fonseca,2203914
10010502,entity,ACTIVE CORPORATION,Panama Papers,Switzerland,CHE,PMA,Panama,Dissolved,The Panama Papers data is current through 2015,,ACTIVE CORPORATION,,GOTTHARDSTRASSE 57 6045 MEGGEN SWITZERLAND,,18577,10-DEC-1984,20-SEP-1999,10-MAR-1998,,Mossack Fonseca,32
10010978,entity,Elly Ltd,Panama Papers,Israel,ISR,ANG,British Anguilla,Active,The Panama Papers data is current through 2015,,Elly Ltd,,"UFX GROUP LTD 9 HAMASGER ST, TEL-AVIV ISRAEL",,2002080,01-MAY-2012,,,,Mossack Fonseca,2227816
10011775,entity,"ROZIM, Incorporated",Panama Papers,Belize,BLZ,ANG,British Anguilla,Active,The Panama Papers data is current through 2015,,"ROZIM, Incorporated",,"INTERNATIONAL SERVICES LTD. P.O. BOX 2284 16 ALBERT HOY AVE. BELAMA PH 1 BELIZE CITY, BELIZE **S.I.**",,2003374,01-AUG-2014,,,,Mossack Fonseca,2319701
10012001,entity,RED CLAW INC.,Panama Papers,Panama,PAN,PMA,Panama,Dissolved,The Panama Papers data is current through 2015,,RED CLAW INC.,,MF ASSOCIATES INC. PASEO ROBERTO MOTTA CAPITAL PLAZA; FLOOR 8 COSTA DEL ESTE; PANAMÁ PANAMA REPUBLIC OF PANAMA *S.I.*,,18485,17-MAY-1999,28-JAN-2005,15-JUL-2006,,Mossack Fonseca,27
10012168,entity,SOCIETE NOUVELLE DE CONSTRUCTION S.A.,Panama Papers,Switzerland,CHE,PMA,Panama,Dissolved,The Panama Papers data is current through 2015,,SOCIETE NOUVELLE DE CONSTRUCTION S.A.,,FIDES TRUST COMPANY BUOBENMATT 2 6003 LUCERNE SWITZERLAND,,1783,22-MAY-1981,05-MAR-1982,22-AUG-1982,,Mossack Fonseca,
10012442,entity,AVRO S.A.,Panama Papers,Panama,PAN,PMA,Panama,Defaulted,The Panama Papers data is current through 2015,,AVRO S.A.,,MF ASSOCIATES INC. PASEO ROBERTO MOTTA CAPITAL PLAZA; FLOOR 8 COSTA DEL ESTE; PANAMÁ PANAMA REPUBLIC OF PANAMA *S.I.*,,19959,18-DEC-2000,06-JAN-2004,18-MAR-2003,,Mossack Fonseca,1
10012649,entity,BAYLOR CONSULTANTS S.A.,Panama Papers,Luxembourg,LUX,SEY,Seychelles,Defaulted,The Panama Papers data is current through 2015,,BAYLOR CONSULTANTS S.A.,,CTP; COMPANIES & TRUSTS PROMOTION S.À.R.L 3; PLACE D'ARGENT L-1413 LUXEMBOURG CITY LUXEMBOURG,,200370,04-DEC-2000,03-JAN-2003,31-DEC-2002,,Mossack Fonseca,006402
10012758,entity,Wilvale Limited,Panama Papers,Guernsey,GGY,ANG,British Anguilla,Active,The Panama Papers data is current through 2015,,Wilvale Limited,,RICHMOND FIDUCIARY GROUP LIMITED RICHMOND HOUSE P.O. BOX 374 ST. JULIAN'S AVENUE ST. PETER PORT GUERNSEY  GY1 3YS **S.I.**,,2000479,08-SEP-2008,,,,Mossack Fonseca,2129179
10012883,entity,DML Investments Ltd.,Panama Papers,United Arab Emirates,ARE,ANG,British Anguilla,Active,The Panama Papers data is current through 2015,,DML Investments Ltd.,,HELENE MATHIEU  LEGAL CONSULTANTS OFFICE 2103; ONTARIO TOWER A'AMAL STREET BUSINESS BAY (OPPOSITE THE OBEROI HOTEL) DUBAI; U.A.E.,,2000148,01-AUG-2007,,,,Mossack Fonseca,2105296
10013250,entity,HVAC CONSULTANCY GROUP LTD.,Panama Papers,United Arab Emirates,ARE,SEY,Seychelles,Defaulted,The Panama Papers data is current through 2015,,HVAC CONSULTANCY GROUP LTD.,,HELENE MATHIEU  LEGAL CONSULTANTS OFFICE 2103; ONTARIO TOWER A'AMAL STREET BUSINESS BAY (OPPOSITE THE OBEROI HOTEL) DUBAI; U.A.E.,,201066,20-NOV-2002,04-JAN-2005,31-DEC-2004,,Mossack Fonseca,010696
10013252,entity,NASHTON HOLDINGS INC.,Panama Papers,Russia,RUS,PMA,Panama,Defaulted,The Panama Papers data is current through 2015,,NASHTON HOLDINGS INC.,,STROITELEY STREET; HOUSE 3; STE 80 MOSCOW (MOSKVA) 119311; MOSCOVSKAYA OBLAST (MOSCOW) RUSSIA,,19011,27-JAN-2000,04-APR-2003,27-APR-2001,,Mossack Fonseca,91
10013293,entity,FOXFORD HOLDINGS INC.,Panama Papers,Uruguay,URY,ANG,British Anguilla,Defaulted,The Panama Papers data is current through 2015,,FOXFORD HOLDINGS INC.,,GC CORP. LTDA RUT - 21 718031 0019 BVAR. ESPAÑA 2630 APTO. 301 MONTEVIDEO URUGUAY,,2002299,29-APR-2005,20-JAN-2015,29-DEC-2014,,Mossack Fonseca,2050886
10013501,entity,LIBRA HOLDING CORP.,Panama Papers,United Arab Emirates,ARE,ANG,British Anguilla,Active,The Panama Papers data is current through 2015,,LIBRA HOLDING CORP.,,HELENE MATHIEU  LEGAL CONSULTANTS OFFICE 2103; ONTARIO TOWER A'AMAL STREET BUSINESS BAY (OPPOSITE THE OBEROI HOTEL) DUBAI; U.A.E.,,2000532,02-FEB-2009,,,,Mossack Fonseca,2136451
10013818,entity,NORTH SOUTH RESOURCES INTERNATIONAL LIMITED,Panama Papers,Panama,PAN,SEY,Seychelles,Resigned as agent,The Panama Papers data is current through 2015,,NORTH SOUTH RESOURCES INTERNATIONAL LIMITED,,MF ASSOCIATES INC. PASEO ROBERTO MOTTA CAPITAL PLAZA; FLOOR 8 COSTA DEL ESTE; PANAMÁ PANAMA REPUBLIC OF PANAMA *S.I.*,,201878,13-MAY-2004,11-MAY-2011,31-DEC-2010,,Mossack Fonseca,015272
10014081,entity,MALIBU INVESTMENTS LTD.,Panama Papers,Panama,PAN,SEY,Seychelles,Resigned as agent,The Panama Papers data is current through 2015,,MALIBU INVESTMENTS LTD.,,MF ASSOCIATES INC. PASEO ROBERTO MOTTA CAPITAL PLAZA; FLOOR 8 COSTA DEL ESTE; PANAMÁ PANAMA REPUBLIC OF PANAMA *S.I.*,,201773,08-MAR-2004,09-JAN-2009,31-DEC-2008,,Mossack Fonseca,014566
10014372,entity,Domini Inc.,Panama Papers,Switzerland,CHE,SEY,Seychelles,Defaulted,The Panama Papers data is current through 2015,,Domini Inc.,,TRUVEST GROUP AG OBMOOS 4 6301 ZUG SWITZERLAND,,204961,02-MAY-2006,04-JAN-2010,31-DEC-2009,,Mossack Fonseca,027907
10014391,entity,NFT Investment Limited,Panama Papers,United Kingdom,GBR,ANG,British Anguilla,Active,The Panama Papers data is current through 2015,,NFT Investment Limited,,"MOSSACK FONSECA & CO. (U.K.) LIMITED INVISION HOUSE WILBURY WAY, HITCHIN HERTFORDSHIRE SG4 OTW UNITED KINGDOM",,2003411,29-AUG-2014,,,,Mossack Fonseca,2321593
10014450,entity,Going This Way Limited,Panama Papers,Hong Kong,HKG,ANG,British Anguilla,Active,The Panama Papers data is current through 2015,,Going This Way Limited,,BUSINESS LINK HOLDINGS LIMITED UNIT C; 15/F.; HUA CHIAO COMMERCIAL CENTRE; 678 NATHAN ROAD; MONGKOK; KOWLOON HONG KONG,,2003326,11-JUL-2014,,,,Mossack Fonseca,2317977
10014565,entity,GULF WORLDWIDE INVESTMENTS  LTD.,Panama Papers,United Arab Emirates,ARE,ANG,British Anguilla,Defaulted,The Panama Papers data is current through 2015,,GULF WORLDWIDE INVESTMENTS  LTD.,,HELENE MATHIEU  LEGAL CONSULTANTS OFFICE 2103; ONTARIO TOWER A'AMAL STREET BUSINESS BAY (OPPOSITE THE OBEROI HOTEL) DUBAI; U.A.E.,,2000070,28-MAY-2007,02-MAR-2009,29-DEC-2008,,Mossack Fonseca,2101083
10014729,entity,ALSACE PROPERTIES LIMITED,Panama Papers,United Arab Emirates,ARE,SEY,Seychelles,Changed agent,The Panama Papers data is current through 2015,,ALSACE PROPERTIES LIMITED,,HELENE MATHIEU  LEGAL CONSULTANTS OFFICE 2103; ONTARIO TOWER A'AMAL STREET BUSINESS BAY (OPPOSITE THE OBEROI HOTEL) DUBAI; U.A.E.,,202393,21-DEC-2004,17-JAN-2008,31-DEC-2009,,Mossack Fonseca,017990
10014743,entity,AIR SERVICES INTERNATIONAL LTD.,Panama Papers,United Arab Emirates,ARE,SEY,Seychelles,Defaulted,The Panama Papers data is current through 2015,,AIR SERVICES INTERNATIONAL LTD.,,HELENE MATHIEU  LEGAL CONSULTANTS OFFICE 2103; ONTARIO TOWER A'AMAL STREET BUSINESS BAY (OPPOSITE THE OBEROI HOTEL) DUBAI; U.A.E.,,200463,14-FEB-2001,11-JAN-2011,31-DEC-2010,,Mossack Fonseca,006703
10014806,entity,Global Line INC.,Panama Papers,Hong Kong,HKG,ANG,British Anguilla,Active,The Panama Papers data is current through 2015,,Global Line INC.,,BUSINESS LINK HOLDINGS LIMITED UNIT C; 15/F.; HUA CHIAO COMMERCIAL CENTRE; 678 NATHAN ROAD; MONGKOK; KOWLOON HONG KONG,,2004133,10-NOV-2015,,,,Mossack Fonseca,2368873
10014925,entity,DRAGON WISE LTD.,Panama Papers,Panama,PAN,SEY,Seychelles,Resigned as agent,The Panama Papers data is current through 2015,,DRAGON WISE LTD.,,MF ASSOCIATES INC. PASEO ROBERTO MOTTA CAPITAL PLAZA; FLOOR 8 COSTA DEL ESTE; PANAMÁ PANAMA REPUBLIC OF PANAMA *S.I.*,,200004,15-JAN-1999,02-JAN-2008,31-DEC-2007,,Mossack Fonseca,003898
10014959,entity,OZONO MANAGEMENT CORPORATION,Panama Papers,United Arab Emirates,ARE,ANG,British Anguilla,Defaulted,The Panama Papers data is current through 2015,,OZONO MANAGEMENT CORPORATION,,HELENE MATHIEU  LEGAL CONSULTANTS OFFICE 2103; ONTARIO TOWER A'AMAL STREET BUSINESS BAY (OPPOSITE THE OBEROI HOTEL) DUBAI; U.A.E.,,2000205,26-SEP-2007,18-MAY-2010,31-MAR-2010,,Mossack Fonseca,2108274
10014966,entity,LAUREL INVESTMENT INC.,Panama Papers,United Arab Emirates,ARE,ANG,British Anguilla,Defaulted,The Panama Papers data is current through 2015,,LAUREL INVESTMENT INC.,,HELENE MATHIEU  LEGAL CONSULTANTS OFFICE 2103; ONTARIO TOWER A'AMAL STREET BUSINESS BAY (OPPOSITE THE OBEROI HOTEL) DUBAI; U.A.E.,,2000213,25-SEP-2007,18-MAY-2010,31-MAR-2010,,Mossack Fonseca,2108255
10015048,entity,OVERTON & FULLER LTD.,Panama Papers,Seychelles,SYC,SEY,Seychelles,Defaulted,The Panama Papers data is current through 2015,,OVERTON & FULLER LTD.,,ALEFINO LIMITED 103 SHAM PENG TONG PLAZA VICTORIA *S.I* VICTORIA SEYCHELLES,,203298,16-JUN-2005,,31-DEC-2013,,Mossack Fonseca,021366
10015060,entity,HYPERION EQUITIES S.A.,Panama Papers,Switzerland,CHE,PMA,Panama,Active,The Panama Papers data is current through 2015,,HYPERION EQUITIES S.A.,,"MSG S.A. 5, CH. DE LA VUACHÈRE CASE POSTALE 1059; 1001 LAUSANNE; SWITZERLAND LAUSANNE SWITZERLAND",,18548,14-JUN-1999,,,,Mossack Fonseca,79
10015159,entity,WOODMAN INC.,Panama Papers,Panama,PAN,SEY,Seychelles,Resigned as agent,The Panama Papers data is current through 2015,,WOODMAN INC.,,MF ASSOCIATES INC. PASEO ROBERTO MOTTA CAPITAL PLAZA; FLOOR 8 COSTA DEL ESTE; PANAMÁ PANAMA REPUBLIC OF PANAMA *S.I.*,,201332,20-MAY-2003,04-JAN-2010,31-DEC-2009,,Mossack Fonseca,011873
10015222,entity,TAHMINA TOTAL AIRCRAFT LEASING INC.,Panama Papers,United Arab Emirates,ARE,SEY,Seychelles,Defaulted,The Panama Papers data is current through 2015,,TAHMINA TOTAL AIRCRAFT LEASING INC.,,HELENE MATHIEU  LEGAL CONSULTANTS OFFICE 2103; ONTARIO TOWER A'AMAL STREET BUSINESS BAY (OPPOSITE THE OBEROI HOTEL) DUBAI; U.A.E.,,200671,21-AUG-2001,04-JAN-2005,31-DEC-2004,,Mossack Fonseca,007697
