transaction_key,account_key,secondary_account_key,transaction_type_code,country_code_2,currency_code,counterparty_account_key,branch_key,sub_account_key,amount,transaction_ts
TXN-EXT-900000055,ACCT-00026,NA,40,US,USD,CP-700055,NA,,12604.23,2025-01-12T05:34:51Z
TXN-EXT-900000056,ACCT-00026,NA,20,IO,USD,CP-700056,NA,,62289.40,2025-01-07T05:19:25Z
TXN-EXT-900000057,ACCT-00026,NA,40,US,USD,CP-700057,NA,,8666.04,2025-01-10T06:45:34Z
TXN-EXT-900000058,ACCT-00028,NA,10,HR,USD,CP-700058,NA,,64273.23,2025-01-19T08:00:07Z
TXN-EXT-900000059,ACCT-00028,NA,20,KR,USD,CP-700059,NA,,35306.87,2025-01-01T12:07:23Z
TXN-EXT-900000060,ACCT-00029,NA,20,TL,USD,CP-700060,NA,,65325.08,2025-01-08T08:30:00Z
TXN-EXT-900000061,ACCT-00029,NA,10,MS,USD,CP-700061,NA,,102300.25,2025-01-03T13:36:00Z
TXN-EXT-900000062,ACCT-00029,NA,30,US,USD,CP-700062,NA,,24014.11,2025-01-19T18:34:21Z
TXN-EXT-900000063,ACCT-00029,NA,40,US,USD,CP-700063,NA,,6510.41,2025-01-22T06:22:41Z
TXN-EXT-900000064,ACCT-00030,NA,10,UZ,USD,CP-700064,NA,,4578.79,2025-01-20T04:41:58Z
TXN-EXT-900000065,ACCT-00030,NA,20,PN,USD,CP-700065,NA,,86530.13,2025-01-17T16:44:31Z
TXN-EXT-900000066,ACCT-00030,NA,40,US,USD,CP-700066,NA,,20893.30,2025-01-11T23:51:33Z
TXN-EXT-900000067,ACCT-00031,NA,40,US,USD,CP-700067,NA,,3970.23,2025-01-19T22:08:02Z
TXN-EXT-900000068,ACCT-00031,NA,30,US,USD,CP-700068,NA,,4928.72,2025-01-02T05:25:39Z
TXN-EXT-900000069,ACCT-00031,NA,40,US,USD,CP-700069,NA,,12244.48,2025-01-29T20:44:49Z
TXN-EXT-900000070,ACCT-00032,NA,20,DK,USD,CP-700070,NA,,67448.39,2025-01-20T20:22:19Z
TXN-EXT-900000071,ACCT-00037,NA,20,PW,USD,CP-700071,NA,,128577.63,2025-01-26T06:57:02Z
TXN-EXT-900000072,ACCT-00037,NA,30,US,USD,CP-700072,NA,,15210.14,2025-01-21T05:36:54Z
TXN-EXT-900000073,ACCT-00039,NA,10,MV,USD,CP-700073,NA,,133697.67,2025-01-18T03:03:38Z
TXN-EXT-900000074,ACCT-00039,NA,20,TL,USD,CP-700074,NA,,121015.27,2025-01-30T11:59:20Z
TXN-EXT-900000075,ACCT-00039,NA,20,FR,USD,CP-700075,NA,,27932.56,2025-01-23T23:02:09Z
TXN-EXT-900000076,ACCT-00039,NA,10,HM,USD,CP-700076,NA,,61014.10,2025-01-07T11:38:44Z
TXN-EXT-900000077,ACCT-00039,NA,10,ZA,USD,CP-700077,NA,,30408.24,2025-01-15T07:34:30Z
TXN-EXT-900000078,ACCT-00040,NA,30,US,USD,CP-700078,NA,,23413.52,2025-01-28T08:01:16Z
TXN-EXT-900000079,ACCT-00040,NA,20,MN,USD,CP-700079,NA,,47081.52,2025-01-12T17:37:39Z
TXN-EXT-900000080,ACCT-00040,NA,30,US,USD,CP-700080,NA,,19066.03,2025-01-20T04:52:28Z
TXN-EXT-900000081,ACCT-00040,NA,40,US,USD,CP-700081,NA,,19325.95,2025-01-15T19:09:14Z
TXN-EXT-900000082,ACCT-00040,NA,40,US,USD,CP-700082,NA,,11092.11,2025-01-13T09:49:38Z
TXN-EXT-900000083,ACCT-00040,NA,20,RS,USD,CP-700083,NA,,123735.86,2025-01-22T14:13:25Z
TXN-EXT-900000084,ACCT-00041,NA,40,US,USD,CP-700084,NA,,22228.38,2025-01-28T21:36:15Z
TXN-EXT-900000085,ACCT-00041,NA,40,US,USD,CP-700085,NA,,6875.04,2025-01-26T05:25:35Z
TXN-EXT-900000086,ACCT-00044,NA,20,CL,USD,CP-700086,NA,,129387.04,2025-01-19T12:47:28Z
TXN-EXT-900000087,ACCT-00044,NA,30,US,USD,CP-700087,NA,,14513.27,2025-01-28T03:01:18Z
TXN-EXT-900000088,ACCT-00047,NA,40,US,USD,CP-700088,NA,,9441.24,2025-01-21T20:45:51Z
TXN-EXT-900000089,ACCT-00049,NA,30,US,USD,CP-700089,NA,,24498.55,2025-01-20T21:56:31Z
TXN-EXT-900000090,ACCT-00049,NA,10,PR,USD,CP-700090,NA,,33840.28,2025-01-30T02:30:06Z
TXN-EXT-900000091,ACCT-00049,NA,30,US,USD,CP-700091,NA,,3811.59,2025-01-18T05:11:22Z
TXN-EXT-900000092,ACCT-00050,NA,10,SA,USD,CP-700092,NA,,62267.73,2025-01-11T17:03:34Z
TXN-EXT-900000093,ACCT-00050,NA,30,US,USD,CP-700093,NA,,11857.93,2025-01-03T16:35:56Z
TXN-EXT-900000094,ACCT-00050,NA,20,KZ,USD,CP-700094,NA,,137657.13,2025-01-27T12:37:27Z
TXN-EXT-900000095,ACCT-00050,NA,40,US,USD,CP-700095,NA,,8719.28,2025-01-22T10:52:22Z
TXN-EXT-900000096,ACCT-00051,NA,10,HM,USD,CP-700096,NA,,108780.58,2025-01-23T22:03:19Z
TXN-EXT-900000097,ACCT-00052,NA,30,US,USD,CP-700097,NA,,9711.06,2025-01-09T04:50:51Z
TXN-EXT-900000098,ACCT-00054,NA,20,BH,USD,CP-700098,NA,,41742.59,2025-01-01T17:47:18Z
TXN-EXT-900000099,ACCT-00054,NA,40,US,USD,CP-700099,NA,,7468.27,2025-01-08T08:51:12Z
TXN-EXT-900000100,ACCT-00055,NA,40,US,USD,CP-700100,NA,,17622.49,2025-01-16T02:17:59Z
TXN-EXT-900000101,ACCT-00055,NA,40,US,USD,CP-700101,NA,,20103.91,2025-01-10T06:48:22Z
TXN-EXT-900000102,ACCT-00056,NA,10,TG,USD,CP-700102,NA,,62069.80,2025-01-09T12:06:36Z
TXN-EXT-900000103,ACCT-00056,NA,30,US,USD,CP-700103,NA,,17387.31,2025-01-17T21:28:40Z
TXN-EXT-900000104,ACCT-00056,NA,10,PH,USD,CP-700104,NA,,124446.27,2025-01-05T00:52:54Z
TXN-EXT-900000105,ACCT-00056,NA,20,AW,USD,CP-700105,NA,,119145.76,2025-01-15T03:15:28Z
TXN-EXT-900000106,ACCT-00057,NA,20,GM,USD,CP-700106,NA,,116929.92,2025-01-27T09:35:56Z
TXN-EXT-900000107,ACCT-00057,NA,30,US,USD,CP-700107,NA,,23335.26,2025-01-10T00:47:34Z
TXN-EXT-900000108,ACCT-00057,NA,30,US,USD,CP-700108,NA,,14938.18,2025-01-08T01:24:45Z
TXN-EXT-900000109,ACCT-00057,NA,40,US,USD,CP-700109,NA,,11452.41,2025-01-29T11:39:43Z
TXN-EXT-900000110,ACCT-00059,NA,30,US,USD,CP-700110,NA,,19969.57,2025-01-09T01:17:42Z
TXN-EXT-900000111,ACCT-00059,NA,30,US,USD,CP-700111,NA,,19699.03,2025-01-23T04:52:55Z
TXN-EXT-900000112,ACCT-00060,NA,40,US,USD,CP-700112,NA,,907.96,2025-01-14T03:20:49Z
TXN-EXT-900000113,ACCT-00060,NA,40,US,USD,CP-700113,NA,,7805.30,2025-01-18T17:54:36Z
TXN-EXT-900000114,ACCT-00060,NA,40,US,USD,CP-700114,NA,,6772.14,2025-01-03T13:36:37Z
TXN-EXT-900000115,ACCT-00060,NA,30,US,USD,CP-700115,NA,,4997.46,2025-01-26T10:43:56Z
TXN-EXT-900000116,ACCT-00063,NA,20,FI,USD,CP-700116,NA,,102844.43,2025-01-19T22:02:05Z
TXN-EXT-900000117,ACCT-00065,NA,20,SN,USD,CP-700117,NA,,122327.39,2025-01-13T02:12:25Z
TXN-EXT-900000118,ACCT-00065,NA,30,US,USD,CP-700118,NA,,14407.95,2025-01-16T16:53:44Z
TXN-EXT-900000119,ACCT-00066,NA,40,US,USD,CP-700119,NA,,16622.54,2025-01-01T23:53:18Z
TXN-EXT-900000120,ACCT-00066,NA,10,CN,USD,CP-700120,NA,,96000.37,2025-01-02T10:03:39Z
TXN-EXT-900000121,ACCT-00066,NA,20,BQ,USD,CP-700121,NA,,2113.59,2025-01-26T07:18:41Z
TXN-EXT-900000122,ACCT-00067,NA,10,KG,USD,CP-700122,NA,,20744.80,2025-01-22T11:16:46Z
TXN-EXT-900000123,ACCT-00067,NA,10,BJ,USD,CP-700123,NA,,41881.05,2025-01-11T04:56:52Z
TXN-EXT-900000124,ACCT-00067,NA,20,VE,USD,CP-700124,NA,,149638.45,2025-01-27T06:24:09Z
TXN-EXT-900000125,ACCT-00067,NA,40,US,USD,CP-700125,NA,,15372.08,2025-01-27T11:10:33Z
TXN-EXT-900000126,ACCT-00068,NA,40,US,USD,CP-700126,NA,,7672.26,2025-01-11T09:24:01Z
TXN-EXT-900000127,ACCT-00069,NA,30,US,USD,CP-700127,NA,,18778.97,2025-01-27T10:24:46Z
TXN-EXT-900000128,ACCT-00069,NA,40,US,USD,CP-700128,NA,,22088.89,2025-01-19T23:37:43Z
TXN-EXT-900000129,ACCT-00070,NA,30,US,USD,CP-700129,NA,,22433.25,2025-01-01T09:55:12Z
TXN-EXT-900000130,ACCT-00070,NA,20,VC,USD,CP-700130,NA,,140473.65,2025-01-04T03:41:34Z
TXN-EXT-900000131,ACCT-00070,NA,30,US,USD,CP-700131,NA,,1709.54,2025-01-25T15:30:03Z
TXN-EXT-900000132,ACCT-00070,NA,10,MG,USD,CP-700132,NA,,24308.12,2025-01-19T21:20:47Z
TXN-EXT-900000133,ACCT-00070,NA,20,BR,USD,CP-700133,NA,,128369.71,2025-01-19T00:42:07Z
TXN-EXT-900000134,ACCT-00070,NA,10,BL,USD,CP-700134,NA,,58754.88,2025-01-12T15:12:50Z
TXN-EXT-900000135,ACCT-00070,NA,10,EC,USD,CP-700135,NA,,95432.00,2025-01-27T10:28:19Z
TXN-EXT-900000136,ACCT-00071,NA,20,MM,USD,CP-700136,NA,,13872.99,2025-01-13T04:28:08Z
TXN-EXT-900000137,ACCT-00071,NA,10,BN,USD,CP-700137,NA,,22273.27,2025-01-21T17:58:48Z
TXN-EXT-900000138,ACCT-00071,NA,10,TV,USD,CP-700138,NA,,114554.10,2025-01-08T18:27:28Z
TXN-EXT-900000139,ACCT-00071,NA,30,US,USD,CP-700139,NA,,4956.81,2025-01-23T03:59:03Z
TXN-EXT-900000140,ACCT-00071,NA,20,PT,USD,CP-700140,NA,,137730.66,2025-01-21T04:19:32Z
TXN-EXT-900000141,ACCT-00071,NA,10,KR,USD,CP-700141,NA,,25880.83,2025-01-05T04:01:43Z
TXN-EXT-900000142,ACCT-00072,NA,30,US,USD,CP-700142,NA,,17463.36,2025-01-18T06:01:08Z
TXN-EXT-900000143,ACCT-00073,NA,20,SA,USD,CP-700143,NA,,128707.48,2025-01-17T23:44:09Z
TXN-EXT-900000144,ACCT-00073,NA,30,US,USD,CP-700144,NA,,22602.49,2025-01-29T13:11:32Z
TXN-EXT-900000145,ACCT-00074,NA,10,LS,USD,CP-700145,NA,,131863.11,2025-01-23T23:32:26Z
TXN-EXT-900000146,ACCT-00074,NA,10,GN,USD,CP-700146,NA,,83402.97,2025-01-29T23:39:11Z
TXN-EXT-900000147,ACCT-00076,NA,30,US,USD,CP-700147,NA,,10716.78,2025-01-20T20:30:44Z
TXN-EXT-900000148,ACCT-00077,NA,30,US,USD,CP-700148,NA,,16022.71,2025-01-13T05:05:45Z
TXN-EXT-900000149,ACCT-00078,NA,40,US,USD,CP-700149,NA,,2735.61,2025-01-27T08:34:32Z
TXN-EXT-900000150,ACCT-00078,NA,20,AF,USD,CP-700150,NA,,148549.20,2025-01-08T10:48:39Z
TXN-EXT-900000151,ACCT-00079,NA,10,JE,USD,CP-700151,NA,,126822.45,2025-01-13T01:23:32Z
TXN-EXT-900000152,ACCT-00079,NA,20,HN,USD,CP-700152,NA,,31153.69,2025-01-03T21:09:36Z
TXN-EXT-900000153,ACCT-00079,NA,10,FJ,USD,CP-700153,NA,,12687.90,2025-01-29T15:26:23Z
TXN-EXT-900000154,ACCT-00079,NA,30,US,USD,CP-700154,NA,,19555.90,2025-01-05T05:00:00Z
TXN-EXT-900000155,ACCT-00079,NA,30,US,USD,CP-700155,NA,,5335.34,2025-01-19T17:23:18Z
TXN-EXT-900000156,ACCT-00079,NA,40,US,USD,CP-700156,NA,,14038.22,2025-01-13T13:42:35Z
TXN-EXT-900000157,ACCT-00080,NA,40,US,USD,CP-700157,NA,,8255.38,2025-01-03T20:30:35Z
TXN-EXT-900000158,ACCT-00080,NA,30,US,USD,CP-700158,NA,,10909.40,2025-01-27T20:17:50Z
TXN-EXT-900000159,ACCT-00080,NA,20,FJ,USD,CP-700159,NA,,79426.58,2025-01-03T09:55:43Z
TXN-EXT-900000160,ACCT-00080,NA,30,US,USD,CP-700160,NA,,4358.95,2025-01-23T00:51:49Z
TXN-EXT-900000161,ACCT-00083,NA,10,MY,USD,CP-700161,NA,,104998.29,2025-01-26T01:39:05Z
TXN-EXT-900000162,ACCT-00083,NA,30,US,USD,CP-700162,NA,,2860.82,2025-01-23T22:50:45Z
TXN-EXT-900000163,ACCT-00084,NA,20,ML,USD,CP-700163,NA,,17870.65,2025-01-02T15:17:37Z
TXN-EXT-900000164,ACCT-00084,NA,20,ZM,USD,CP-700164,NA,,93140.24,2025-01-05T09:38:22Z
TXN-EXT-900000165,ACCT-00084,NA,20,RS,USD,CP-700165,NA,,79523.59,2025-01-06T14:33:51Z
TXN-EXT-900000166,ACCT-00084,NA,30,US,USD,CP-700166,NA,,23536.43,2025-01-08T10:05:20Z
TXN-EXT-900000167,ACCT-00084,NA,10,PA,USD,CP-700167,NA,,45729.15,2025-01-16T02:45:42Z
TXN-EXT-900000168,ACCT-00085,NA,30,US,USD,CP-700168,NA,,1838.75,2025-01-09T04:47:45Z
TXN-EXT-900000169,ACCT-00087,NA,40,US,USD,CP-700169,NA,,349.51,2025-01-04T03:03:12Z
TXN-EXT-900000170,ACCT-00087,NA,10,CC,USD,CP-700170,NA,,25825.33,2025-01-12T07:33:41Z
TXN-EXT-900000171,ACCT-00087,NA,10,PN,USD,CP-700171,NA,,129238.20,2025-01-04T08:20:01Z
TXN-EXT-900000172,ACCT-00087,NA,20,VU,USD,CP-700172,NA,,208.17,2025-01-20T18:57:37Z
TXN-EXT-900000173,ACCT-00087,NA,30,US,USD,CP-700173,NA,,19833.02,2025-01-20T09:14:06Z
TXN-EXT-900000174,ACCT-00088,NA,30,US,USD,CP-700174,NA,,19184.79,2025-01-02T07:09:41Z
TXN-EXT-900000175,ACCT-00088,NA,30,US,USD,CP-700175,NA,,12329.18,2025-01-23T13:04:06Z
TXN-EXT-900000176,ACCT-00089,NA,20,GW,USD,CP-700176,NA,,148083.24,2025-01-28T12:20:11Z
TXN-EXT-900000177,ACCT-00089,NA,30,US,USD,CP-700177,NA,,10344.27,2025-01-27T09:17:57Z
TXN-EXT-900000178,ACCT-00090,NA,30,US,USD,CP-700178,NA,,2601.84,2025-01-11T10:20:07Z
TXN-EXT-900000179,ACCT-00090,NA,10,KH,USD,CP-700179,NA,,144483.14,2025-01-03T16:47:36Z
TXN-EXT-900000180,ACCT-00091,NA,40,US,USD,CP-700180,NA,,4549.00,2025-01-31T05:26:41Z
TXN-EXT-900000181,ACCT-00091,NA,40,US,USD,CP-700181,NA,,1932.56,2025-01-24T08:41:03Z
TXN-EXT-900000182,ACCT-00091,NA,20,RW,USD,CP-700182,NA,,116980.94,2025-01-02T13:05:58Z
TXN-EXT-900000183,ACCT-00092,NA,30,US,USD,CP-700183,NA,,15321.13,2025-01-19T04:47:27Z
TXN-EXT-900000184,ACCT-00092,NA,30,US,USD,CP-700184,NA,,167.76,2025-01-31T15:40:33Z
TXN-EXT-900000185,ACCT-00092,NA,40,US,USD,CP-700185,NA,,4454.99,2025-01-25T22:51:44Z
TXN-EXT-900000186,ACCT-00093,NA,20,WF,USD,CP-700186,NA,,29073.27,2025-01-23T15:21:32Z
TXN-EXT-900000187,ACCT-00093,NA,20,ZA,USD,CP-700187,NA,,78460.16,2025-01-03T04:00:08Z
TXN-EXT-900000188,ACCT-00095,NA,40,US,USD,CP-700188,NA,,698.02,2025-01-16T18:17:33Z
TXN-EXT-900000189,ACCT-00095,NA,40,US,USD,CP-700189,NA,,12402.36,2025-01-21T22:03:20Z
TXN-EXT-900000190,ACCT-00097,NA,40,US,USD,CP-700190,NA,,899.83,2025-01-22T10:31:52Z
TXN-EXT-900000191,ACCT-00099,NA,10,SA,USD,CP-700191,NA,,36565.37,2025-01-24T20:30:54Z
TXN-EXT-900000192,ACCT-00100,NA,30,US,USD,CP-700192,NA,,837.12,2025-01-08T00:15:13Z
TXN-EXT-900000193,ACCT-00100,NA,20,SL,USD,CP-700193,NA,,41435.01,2025-01-18T19:19:10Z
TXN-EXT-900000194,ACCT-00100,NA,40,US,USD,CP-700194,NA,,23861.94,2025-01-12T16:54:48Z
TXN-EXT-900000195,ACCT-00100,NA,20,MM,USD,CP-700195,NA,,43845.24,2025-01-22T09:41:53Z
TXN-EXT-900000196,ACCT-00100,NA,20,UM,USD,CP-700196,NA,,111294.02,2025-01-23T15:21:24Z
TXN-EXT-900000197,ACCT-00100,NA,40,US,USD,CP-700197,NA,,12565.02,2025-01-29T11:51:08Z
TXN-EXT-900000198,ACCT-00101,NA,30,US,USD,CP-700198,NA,,16640.10,2025-01-09T13:23:55Z
TXN-EXT-900000199,ACCT-00101,NA,20,WF,USD,CP-700199,NA,,128871.03,2025-01-17T06:53:48Z
TXN-EXT-900000200,ACCT-00101,NA,30,US,USD,CP-700200,NA,,6679.19,2025-01-06T13:20:48Z
TXN-EXT-900000201,ACCT-00101,NA,30,US,USD,CP-700201,NA,,723.55,2025-01-21T15:50:27Z
TXN-EXT-900000202,ACCT-00101,NA,40,US,USD,CP-700202,NA,,9594.64,2025-01-10T21:28:42Z
TXN-EXT-900000203,ACCT-00101,NA,10,OM,USD,CP-700203,NA,,111394.28,2025-01-16T09:25:05Z
TXN-EXT-900000204,ACCT-00103,NA,10,CF,USD,CP-700204,NA,,9875.89,2025-01-16T18:15:22Z
TXN-EXT-900000205,ACCT-00104,NA,10,MZ,USD,CP-700205,NA,,95328.13,2025-01-25T18:58:31Z
TXN-EXT-900000206,ACCT-00104,NA,30,US,USD,CP-700206,NA,,16926.80,2025-01-19T19:12:45Z
TXN-EXT-900000207,ACCT-00104,NA,30,US,USD,CP-700207,NA,,23696.23,2025-01-14T22:37:59Z
TXN-EXT-900000208,ACCT-00104,NA,10,RO,USD,CP-700208,NA,,139618.73,2025-01-04T17:25:05Z
TXN-EXT-900000209,ACCT-00106,NA,40,US,USD,CP-700209,NA,,22951.69,2025-01-28T02:23:31Z
TXN-EXT-900000210,ACCT-00106,NA,30,US,USD,CP-700210,NA,,8419.79,2025-01-09T09:04:44Z
TXN-EXT-900000211,ACCT-00106,NA,20,AF,USD,CP-700211,NA,,71255.12,2025-01-23T22:44:44Z
TXN-EXT-900000212,ACCT-00106,NA,40,US,USD,CP-700212,NA,,6999.48,2025-01-18T03:25:56Z
TXN-EXT-900000213,ACCT-00107,NA,30,US,USD,CP-700213,NA,,447.74,2025-01-27T08:46:41Z
TXN-EXT-900000214,ACCT-00108,NA,10,LI,USD,CP-700214,NA,,129886.73,2025-01-20T05:30:17Z
TXN-EXT-900000215,ACCT-00108,NA,20,RS,USD,CP-700215,NA,,137521.28,2025-01-05T03:32:39Z
TXN-EXT-900000216,ACCT-00108,NA,40,US,USD,CP-700216,NA,,11840.17,2025-01-16T11:52:41Z
TXN-EXT-900000217,ACCT-00109,NA,40,US,USD,CP-700217,NA,,2043.98,2025-01-14T04:43:13Z
TXN-EXT-900000218,ACCT-00109,NA,30,US,USD,CP-700218,NA,,13003.16,2025-01-14T10:50:45Z
TXN-EXT-900000219,ACCT-00109,NA,40,US,USD,CP-700219,NA,,6608.33,2025-01-14T15:31:56Z
TXN-EXT-900000220,ACCT-00109,NA,10,BT,USD,CP-700220,NA,,133468.81,2025-01-31T19:11:15Z
TXN-EXT-900000221,ACCT-00109,NA,30,US,USD,CP-700221,NA,,1766.61,2025-01-22T09:41:15Z
TXN-EXT-900000222,ACCT-00110,NA,10,MY,USD,CP-700222,NA,,58748.26,2025-01-12T15:39:40Z
TXN-EXT-900000223,ACCT-00110,NA,20,TW,USD,CP-700223,NA,,56657.71,2025-01-23T13:00:33Z
TXN-EXT-900000224,ACCT-00110,NA,30,US,USD,CP-700224,NA,,19036.81,2025-01-31T18:00:04Z
TXN-EXT-900000225,ACCT-00110,NA,40,US,USD,CP-700225,NA,,11550.46,2025-01-27T01:35:57Z
TXN-EXT-900000226,ACCT-00110,NA,10,MX,USD,CP-700226,NA,,71668.26,2025-01-08T18:22:27Z
TXN-EXT-900000227,ACCT-00110,NA,40,US,USD,CP-700227,NA,,10925.02,2025-01-29T08:02:25Z
TXN-EXT-900000228,ACCT-00111,NA,30,US,USD,CP-700228,NA,,11443.52,2025-01-08T08:45:16Z
TXN-EXT-900000229,ACCT-00111,NA,30,US,USD,CP-700229,NA,,2148.97,2025-01-02T02:11:37Z
